id,asset_id,machine_name,sensor_type,value,unit,timestamp
1330,A200,Heat Exchanger,temperature,76.09,C,2026-03-01 00:12:24
1616,A200,Heat Exchanger,pressure,10.41,bar,2026-03-01 00:13:30
768,A200,Heat Exchanger,flow_rate,204.39,m3/h,2026-03-01 00:14:49
1013,A100,Gas Compressor,flow_rate,254.09,m3/h,2026-03-01 00:15:22
159,A400,Steam Turbine,pressure,10.83,bar,2026-03-01 00:22:17
348,A100,Gas Compressor,temperature,74.58,C,2026-03-01 00:23:55
182,A200,Heat Exchanger,pressure,6.18,bar,2026-03-01 00:26:48
1039,A100,Gas Compressor,temperature,78.48,C,2026-03-01 00:30:03
1985,A200,Heat Exchanger,temperature,75.33,C,2026-03-01 00:35:49
859,A200,Heat Exchanger,flow_rate,240.01,m3/h,2026-03-01 00:41:32
233,A100,Gas Compressor,pressure,10.18,bar,2026-03-01 00:49:23
322,A200,Heat Exchanger,temperature,66.38,C,2026-03-01 00:55:13
663,A400,Steam Turbine,temperature,37.6,C,2026-03-01 01:11:12
852,A400,Steam Turbine,pressure,6.62,bar,2026-03-01 01:17:46
1485,A200,Heat Exchanger,temperature,99.64,C,2026-03-01 01:20:24
539,A400,Steam Turbine,flow_rate,203.8,m3/h,2026-03-01 01:21:08
1905,A200,Heat Exchanger,temperature,30.19,C,2026-03-01 01:21:13
594,A400,Steam Turbine,flow_rate,204.28,m3/h,2026-03-01 01:21:33
1912,A100,Gas Compressor,pressure,20.44,bar,2026-03-01 01:21:56
1138,A400,Steam Turbine,flow_rate,206.13,m3/h,2026-03-01 01:23:08
900,A400,Steam Turbine,temperature,45.66,C,2026-03-01 01:31:18
1997,A300,Water Pump,pressure,9.5,bar,2026-03-01 01:32:26
278,A300,Water Pump,pressure,8.6,bar,2026-03-01 01:35:03
1366,A300,Water Pump,flow_rate,230.66,m3/h,2026-03-01 01:36:57
66,A400,Steam Turbine,flow_rate,205.04,m3/h,2026-03-01 01:40:04
731,A100,Gas Compressor,pressure,6.08,bar,2026-03-01 01:52:21
1962,A300,Water Pump,flow_rate,246.31,m3/h,2026-03-01 01:52:34
1688,A400,Steam Turbine,pressure,5.28,bar,2026-03-01 01:59:55
537,A300,Water Pump,temperature,37.02,C,2026-03-01 02:00:08
403,A300,Water Pump,temperature,33.3,C,2026-03-01 02:00:13
260,A400,Steam Turbine,temperature,55.69,C,2026-03-01 02:00:28
1603,A400,Steam Turbine,temperature,71.82,C,2026-03-01 02:03:16
969,A400,Steam Turbine,flow_rate,255.77,m3/h,2026-03-01 02:05:24
1815,A300,Water Pump,pressure,9.56,bar,2026-03-01 02:06:11
1332,A100,Gas Compressor,flow_rate,289.65,m3/h,2026-03-01 02:06:56
37,A300,Water Pump,flow_rate,267.78,m3/h,2026-03-01 02:18:06
420,A200,Heat Exchanger,flow_rate,280.03,m3/h,2026-03-01 02:22:07
1066,A300,Water Pump,temperature,66.8,C,2026-03-01 02:26:38
1251,A300,Water Pump,temperature,47.33,C,2026-03-01 02:28:23
1886,A200,Heat Exchanger,flow_rate,275.63,m3/h,2026-03-01 02:29:22
700,A200,Heat Exchanger,temperature,67.48,C,2026-03-01 02:29:43
1747,A400,Steam Turbine,pressure,7.27,bar,2026-03-01 02:31:07
1575,A300,Water Pump,flow_rate,240.15,m3/h,2026-03-01 02:31:42
225,A200,Heat Exchanger,temperature,36.67,C,2026-03-01 02:37:05
1883,A300,Water Pump,temperature,72.23,C,2026-03-01 02:41:16
283,A400,Steam Turbine,temperature,68.65,C,2026-03-01 02:41:30
581,A300,Water Pump,flow_rate,226.12,m3/h,2026-03-01 02:49:39
719,A200,Heat Exchanger,temperature,57.69,C,2026-03-01 02:58:52
1682,A200,Heat Exchanger,flow_rate,222.59,m3/h,2026-03-01 03:02:22
833,A400,Steam Turbine,pressure,11.84,bar,2026-03-01 03:09:51
71,A200,Heat Exchanger,pressure,11.76,bar,2026-03-01 03:13:25
1653,A100,Gas Compressor,temperature,50.27,C,2026-03-01 03:16:00
85,A400,Steam Turbine,pressure,5.66,bar,2026-03-01 03:23:52
747,A200,Heat Exchanger,temperature,32.46,C,2026-03-01 03:29:20
599,A100,Gas Compressor,temperature,78.03,C,2026-03-01 03:32:27
365,A100,Gas Compressor,pressure,11.45,bar,2026-03-01 03:32:52
1855,A300,Water Pump,flow_rate,290.45,m3/h,2026-03-01 03:33:11
44,A100,Gas Compressor,flow_rate,265.97,m3/h,2026-03-01 03:43:49
1959,A200,Heat Exchanger,temperature,55.43,C,2026-03-01 03:46:57
38,A300,Water Pump,temperature,51.66,C,2026-03-01 03:47:20
123,A200,Heat Exchanger,temperature,43.64,C,2026-03-01 03:48:24
1233,A200,Heat Exchanger,flow_rate,250.79,m3/h,2026-03-01 03:49:55
28,A400,Steam Turbine,temperature,66.96,C,2026-03-01 03:50:24
1661,A400,Steam Turbine,flow_rate,253.33,m3/h,2026-03-01 03:53:03
1492,A400,Steam Turbine,pressure,8.98,bar,2026-03-01 03:58:59
1405,A100,Gas Compressor,temperature,67.89,C,2026-03-01 04:00:53
792,A200,Heat Exchanger,pressure,10.88,bar,2026-03-01 04:04:57
950,A200,Heat Exchanger,pressure,11.72,bar,2026-03-01 04:08:26
1280,A300,Water Pump,flow_rate,285.35,m3/h,2026-03-01 04:09:54
1348,A300,Water Pump,pressure,7.28,bar,2026-03-01 04:12:42
540,A200,Heat Exchanger,flow_rate,230.73,m3/h,2026-03-01 04:12:45
